Name,Year,ProgramName,Discipline,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,,,,,,,
bd63f7857945089bca730959b7935eca,1611,B.Tech,Chemical Engineering, CL 352 , CL 422 , CL 424  , ES 212 , CH 517 , MS 204 ,,,,,,,,,,
6449a76c78c4b04763d12febca9fdc76,1721,M.Tech,Mechanical Engineering, ME 699 ,,,,,,,,,,,,,,,
5d8dea3183bc78efe0a40a03cbe9f0f1,1631,Ph.D,Biological Engineering, CH 799 , HS 104(R) ,,,,,,,,,,,,,,
a302743abb3c8aa9f111ea0fd4e6652c,1852,M.A,Humanities and Social Science, HS 631 , HS 499 , HS 644 , HS 599(A) , HS 513 , FP 602 ,,,,,,,,,,
ea5bb278880c6c9136b352dcf7c1a77c,1611,B.Tech,Mechanical Engineering, CH 301 , ES 301 , ES 332 , ME 322 , ME 332 , ME 352 , ME 391 , ES 215 ,,,,,,,,
14960c3c3a71bbc1422a9a06dc9d456c,1831,Ph.D,Chemistry, IN 791, CH 799 , CH 519 , BE 608 , IN 791 ,,,,,,,,,,,
1219721c36a0b9dcf082bbe80cea3240,1721,M.Tech,Comp Science & Engg, CS 691 , CS 699 ,,,,,,,,,,,,,,
d122dbd3865c0808a7224fa96a0ec4b4,1511,B.Tech,Chemical Engineering, CH 301 , HS 112 , HS 201 , MSE 626 , HS 508 , MS 204 , BE 402 ,,,,,,,,,
289cdbeca4c9b5f2859a68c7cb952a01,1331,Ph.D,Chemistry, CH 799 ,,,,,,,,,,,,,,,
441bf1bbc321c67a2e4b9e45e3c22be9,1711,B.Tech,Electrical Engineering, EE 331 , ES 202 , HS 201 , MA 202 ,ES 216,,,,,,,,,,,
d8b9ea8584b1797be51b395b50d4f6d8,1825,M.Tech,Civil Engineering, CE 622 , ES 622 , MA 602 , CE 626 ,,,,,,,,,,,,
4bc22ee748519da6f998dd14fabe83cb,1511,B.Tech,Mechanical Engineering, ES 615 , HS 635 , MA 501 , CS 499 , HS 223 , BE 402 , HS 421 ,,,,,,,,,
f0eb0284eaf844ab8adbfa0d8ca89ab7,1751,M.Sc,Mathematics, MA 602 , MA 599 , MA 625 , FP 602 ,,,,,,,,,,,,
afd9da541dfeef6716ef138388e6d331,1811,B.Tech,Chemical Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
fa2af356c5e6c4c8b6e47a93b4ee27fa,1821,M.Tech,Biological Engineering, BE 601 , BE 611 , BE 699 , MA 632 , BE 402 ,,,,,,,,,,,
c6da463b2d0cd47508335e8e9b7cf65e,1721,M.Tech,Chemical Engineering, CL 602 , CL 604 , MA 602 , CL 699 ,,,,,,,,,,,,
9ccfa490675018634d3d255b2e9dffc7,1711,B.Tech,Chemical Engineering, ES 221 , CL 251 , ES 202 , ES 212 , HS 201 , MA 202 , CL 399 ,,,,,,,,,
bf7f89be389af0026142e82282313485,1852,M.A,Humanities and Social Science, HS 644 , HS 599(A) , HS 513 , HS 515 , EH 608 , FP 602 ,,,,,,,,,,
135f09f97d9bc01d763b8572ea9db135,1711,B.Tech,Chemical Engineering, CL 251 , ES 105 , ES 202 , ES 212 , ES 221 , HS 201 , MA 202 ,,,,,,,,,
