Name,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9
6984baab43b6f6faf1432fb229186629, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
4d6f2195b4a0eddc9bd0611b8fada4ee, MSE 630 ,,,,,,,,
e785b2abffdc29240fcb3d78130f1356, CE 304 , CE 305 , CE 306 , CE 307 , CE 309 , HS 508 , CH 517 , CH 521 , BE 402 
ce37ffc8e17f62534a24f612c5ad2742, ES 221 , ES 202 , ES 212 , HS 201 , MA 202 , ME 399 , MS 204 ,,
7638207dc7c54fcb091557bdc83b5045, CE 304 , CE 305 , CE 306 , CE 307 , HS 112 , CE 309 , CH 517 ,,
a6214735957c6daed59c6f8dcbe99df6, ES 631 , MA 602 , ES 632 , ME 699 ,,,,,
86ba64cdbffc82e8216fa02253cbb040, HS 648 , CG 501 , CG 506 , CG 507 , IN 792, CG 604 , Embodiment, And Consciousness, FP 602 
b5287e98e7c74cf4a33668c5fdeee2e7, MA 799 , FP 602 ,,,,,,,
f286339dde91f5a0a09897bdde502250, EE 699 ,,,,,,,,
67a7e0d2c577411039b3ec1b46d85f32, ES 221 , CL 251 , ES 202 , ES 212 , HS 201 , MA 202 ,,,
7781ef4bb84c17c2b35bf9323f26d9f5, PH 599(A) , PH 599 (B) , PH 599 (C) , ES 643 , FP 602 , PH 614 ,,,
d944ab37d1b2dd88db566587f6c6585f, CH 301 , CH 502 , IN 302 , BE 402 ,,,,,
6449a76c78c4b04763d12febca9fdc76, ME 699 ,,,,,,,,
968f01796a5f3947d3dff2bb0aa42ec5, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
d515aa107415198cfdf82bbfe0fa8bff, CL 799 ,,,,,,,,
e887165078a23ea3bcae59131cb8bf85, IN 791, MSE 628  , IN 791 , FP 602 ,,,,,
c477e7a78370c90233140d464f49606d, CE 304 , CE 305 , CE 306 , CE 307 , CE 402 , CE 403 , CE 309 , CE 631 ,
fe8cf80b5bb8178a2ca19cee97ff099b, CL 799 , CL 799 ,,,,,,,
0fea2fead34909aea8099c883b1a03a2, HS 103 , CS 399 , HS 508 ,,,,,,
c37e6647273b5051f533e63ccea609e8, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
084aeaba3dc0a6d1e33bd52e9af2d4ea, BE 799 ,,,,,,,,
55d48b2b3c1d790c1a46c39dfeb262cc, MA 501 , MA 502 , MA 510 , MA 622 , Ma 624 ,,,,
1dbc63bb4fccdf92e6d374a3733e4a9c, CH 301 , IN 302 , MS 406 , BE 402 ,,,,,
d6381015965c12066d54a19f69797f35, CE 307 , CH 517 , CH 521 , BE 402 ,,,,,
d8af04f4e9b77452fd818f8034de8c18, MA 501 , MA 502 , MA 510 , MA 622 , Ma 624 ,,,,
b11853b2e13afa5b36e8ae55c29e52de, CH 301 , ES 212 , MSE 352 , MSE 307 , MSE 302(N) , BE 402 , MS 304 ,,
6c9a8100185db0c1a96abbe3a342d9ca, MSE 799 ,,,,,,,,
16fc5ba6dc751894b75abcffc70120aa, CG 599B , CG 599C , CG 599A , MS 204 , CG 599D , FP 602 ,,,
751aaebb023554cd4f687564a3291070, ES 622 , MA 602 , ME 626 , ME 699 ,,,,,
e2a026fc0ceb2ebe18e2b2f9aa869a61, CH 301 , EE 333 , EE 341 , HS 513 , EH 608 , BE 402 ,,,
46dbe52bba55a0541ccc431b72fbe87d, HS 599(A) , HS 599(B) , HS 599(C) , ES 652 ,,,,,
50e3672f4595b9caa5bb65c48a2b64fd, MSE 699 ,,,,,,,,
62c15c07f25dc88d917a9d01c4e3d7f6, ES 221 , ES 202 , ES 212 , HS 201 , MA 202 , MS 406 ,,,
2b7056c2eb64b4d97601f564ed5ac10e, ME 699 ,,,,,,,,
2e0d8f3d55ea1efd6b17042a451d7e26, CS 699 ,,,,,,,,
84fbddd3ee270f76c602e12f41ea1006, EE 609 , ES 615 , MA 602 , EE 699 , ES 641 ,,,,
a8e128fec8037f3ebd04f9f85d5aa2a1, ES 301 , ES 615 , MA 501 , MS 204 , CS 699 , MA 632 ,,,
e4cd3f17781f3c41dd71a3bb27c95658, IN 792 , BE 605 , IN 791 , FP 602 , BE 402 , BE 403 ,,,
07a5b0c6161c24fc18751d3eee4047b0, PH 799 ,,,,,,,,
bd89157511c47bc4ae5ce4318da44358, PH 799 ,,,,,,,,
e18457c007f1f7c9b2a12352bfccd3cb, ES 221 , CL 251 , ES 202 , ES 212 , HS 201 , MA 202 ,,,
9a9e98a99eea42a7fd717b52c8c7b538, BE 799 , BE 691 , BE 403 ,,,,,,
cc22e893c3406b28301c2a689cf29964, EE 799 , EE 798 ,,,,,,,
c6def3009c40c972b2c7e0c52ef0c08e, BE 799 ,,,,,,,,
41e0a450112ead8c207a8c1eac54a624, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
f6297c601cd97b7e45c6b66608e99c0b, MA 602 , EE 699 , ES 637 , ES 654 ,,,,,
71ea7ace0b6023099e9943db499b82ea, IN 791, CS 491 , MS 204 , IN 791,,,,,
8bc93d36a4a80981d3608fb08aee8924, MSE 799 ,,,,,,,,
07b812cf3978f6aa6c92cb0ba2eab4cb, CH 512 , CH 622 , HS 112 , CH 508 , CH 519 , CH 521 ,,,
19f2e10346de798e1a8e836c7d21d84f, HS 631 , HS 644 , HS 599(A) , HS 513 , MA 632 , FP 602 ,,,
738d558e1fd8fac0f51c8590bb0b265c, HS 112 , HS 508 , CH 517 , MS 204 ,,,,,
2dee3c35392b4dcec7eb1a8c18f4c4f7, CH 301 , ES 212 , HS 508 , HS 514 , HS 515 , BE 402 ,,,
0325f012adc3c4f8531f2bbbcaf99889, CH 301 , HS 635 , ES 632 , BE 402 ,,,,,
