Year,ProgramName,Discipline
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Electrical Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Materials Science & Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1611,B.Tech,Mechanical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Chemical Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
